name,mass,year,reclat,reclong
Bawku,1557,1989,11.083330,-0.183330
Baxter,611,1916,36.750000,-93.500000
Beardsley,16000,1929,39.800000,-101.200000
Beaver Creek,14000,1893,51.166670,-117.333330
Beddgelert,794,1949,53.016670,-4.100000
Bells,375,1961,33.600000,-96.466670
Belville,,1937,-32.333330,-64.866670
Benares (a),3700,1798,25.366670,82.916670
Benguerir,25000,2004,32.250000,-8.150000
Beni M'hira,19000,2001,32.866670,10.800000
Benld,1770.5,1938,39.083330,-89.150000
Benoni,3880,1943,-26.166670,28.416670
Bensour,45000,2002,30.000000,-7.000000
Benton,2840,1949,45.950000,-67.550000
Berduc,270,2008,-31.910000,-58.328330
Béréba,18000,1924,11.650000,-3.650000
Berlanguillas,1440,1811,41.683330,-3.800000
Berthoud,960,2004,40.305830,-105.023250
Bethlehem,13.9,1859,42.533330,-73.833330
Beuste,2000,1859,43.216670,-0.233330
Beyrout,1100,1921,33.883330,35.500000
Bhagur,18,1877,20.883330,74.833330
Bhawad,678,2002,26.508330,73.115280
Bherai,100,1893,20.833330,71.466670
Bhola,1047,1940,22.683330,90.650000
Bholghati,2500,1905,22.083330,86.900000
Bialystok,4000,1827,53.100000,23.200000
Bielokrynitschie,1900,1887,50.133330,27.166670
Bilanga,25000,1999,12.450000,-0.083330
Binningup,488.1,1984,-33.156390,115.676390
Birni N'konni,560,1923,13.766670,5.300000
Bishopville,6000,1843,34.166670,-80.283330
Bishunpur,1039,1895,25.383330,82.600000
Bjelaja Zerkov,1850,1796,49.783330,30.166670
Bjurböle,330000,1899,60.400000,25.800000
Black Moshannan Park,705,1941,40.916670,-78.083330
Blackwell,2381,1906,36.833330,-97.333330
Blanket,5100,1909,31.833330,-98.833330
Blansko,470,1833,49.366670,16.633330
Bloomington,67.8,1938,40.480000,-89.004170
Bo Xian,7500,1977,33.833330,115.833330
Bocas,56,1804,23.000000,-102.000000
Bogou,8800,1962,12.500000,0.700000
Boguslavka,256000,1916,44.550000,131.633330
Borgo San Donino,1676,1808,44.866670,10.050000
Bori,8600,1894,21.950000,78.033330
Boriskino,1342,1930,54.233330,52.483330
Borkut,7000,1852,48.150000,24.283330
Borodino,500,1812,55.466670,35.866670
Botschetschki,614,1823,51.333330,33.883330
Boumdeid (2003),190,2003,17.710670,-11.371500
Boumdeid (2011),3599,2011,17.174930,-11.341330
Bovedy,5460,1969,54.566670,-6.333330
Bradford Woods,762,1886,40.500000,-80.083330
Braunau,39000,1847,50.600000,16.300000
Breitscheid,1500,1956,50.666940,8.183610
Bremervörde,7250,1855,53.400000,9.100000
Brient,219,1933,52.133330,59.316670
Bruderheim,303000,1960,53.900000,-112.883330
Bukhara,5300,2001,39.779780,64.600350
Bulls Run,2250,1964,,
Bunburra Rockhole,324,2007,-31.350000,129.190000
Bununu,357,1942,10.016670,9.583330
Bur-Gheluai,120000,1919,5.000000,48.000000
Burnwell,1504,1990,37.621940,-82.237220
Bursa,25000,1946,40.200000,29.233330
Buschhof,5000,1863,46.450000,25.783330
Bustee,1500,1852,26.783330,82.833330
Butsura,29000,1861,27.083330,84.083330
Buzzard Coulee,41000,2008,52.996000,-109.848170
Cabezo de Mayo,25000,1870,37.983330,-1.166670
Cabin Creek,48500,1886,35.500000,-93.500000
Cacak,212,1919,43.838890,20.333330
Cali,478,2007,3.405000,-76.510000
Calivo,2400,1916,11.750000,122.333330
Campos Sales,23680,1991,-7.033330,-40.166670
Çanakkale,4000,1964,39.800000,26.600000
Cañellas,945,1861,41.250000,1.666670
Cangas de Onis,34000,1866,43.383330,-5.150000
Canon City,1400,1973,38.470280,-105.241390
Cape Girardeau,2300,1846,37.266670,-89.583330
Capilla del Monte,750,1934,-30.883330,-64.550000
Carancas,342,2007,-16.664440,-69.043890
Caratash,8,1902,38.500000,27.000000
Castalia,7300,1874,36.083330,-78.066670
Castel Berardenga,,1791,43.350000,11.500000
Castine,94,1848,44.383330,-68.750000
Castrovillari,15000,1583,39.800000,16.200000
Caswell County,1360,1810,36.500000,-79.250000
Ceniceros,1025,1988,26.466670,-105.233330
Centerville,45.6,1956,43.200000,-96.916670
Cereseto,6460,1840,45.083330,8.300000
Chadong,3700,1998,28.533330,109.316670
Chail,0.5,1814,25.366670,81.666670
Chainpur,8200,1907,25.850000,83.483330
Chajari,18300,1933,-30.783330,-58.050000
Chandakapur,8800,1838,20.266670,76.016670
Chandpur,1100,1885,27.283330,79.050000
Changde,1810,1977,29.083330,111.750000
Chantonnay,31500,1812,46.683330,1.050000
Charlotte,4300,1835,36.166670,-87.333330
Charsonville,27000,1810,47.933330,1.566670
Charwallas,12000,1834,29.483330,75.500000
Chassigny,4000,1815,47.716670,5.366670
Château-Renard,30000,1841,47.933330,2.916670
Chaves,2945,1925,41.933330,-7.466670
Chela,2936,1988,-3.666670,32.500000
Chelyabinsk,100000,2013,54.816670,61.116670
Chergach ,100000,2007,23.696390,-5.014720
Chernyi Bor,6000,1964,53.700000,30.100000
Cherokee Springs,8400,1933,35.033330,-81.883330
Chervettaz,705,1901,46.550000,6.816670
Chervony Kut,1700,1939,50.833330,34.000000
Chetrinahatti,72,1880,14.500000,76.500000
Chiang Khan,367,1981,17.900000,101.633330
Chicora,303,1938,40.933330,-79.733330
Chisenga,3920,1988,-10.059440,33.395000
Chitado,,1966,-17.350000,13.966670
Chitenay,4000,1978,47.470830,0.976670
Cilimus,1600,1979,-6.950000,108.100000
Claxton,1455,1984,32.102500,-81.872780
Clohars,48.6,1822,,
Colby (Wisconsin),104000,1917,44.900000,-90.283330
Cold Bokkeveld,5200,1838,-33.133330,19.383330
Coleman,469,1994,43.761110,-84.507780
Collescipoli,5000,1890,42.533330,12.616670
Conquista,20350,1965,-19.850000,-47.550000
Cosina,1200,1844,21.166670,-100.866670
Cranganore,1460,1917,10.200000,76.266670
Crescent,78.400000000000006,1936,35.950000,-97.583330
Cronstad,3650,1877,-27.700000,27.300000
Cross Roads,167,1892,35.633330,-78.133330
Crumlin,4255,1902,54.616670,-6.216670
Cumberland Falls,17000,1919,36.833330,-84.350000
Cynthiana,6000,1877,38.400000,-84.250000
Dahmani,18000,1981,35.616670,8.833330
Dandapur,5650,1878,26.916670,83.966670
Daniel's Kuil,1064,1868,-28.200000,24.566670
Danville,2000,1868,34.400000,-87.066670
Darmstadt,100,1804,49.866670,8.650000
Dashoguz,7000,1998,41.984440,59.685000
Daule,6580,2008,-1.870890,-79.957560
De Cewsville,340,1887,43.000000,-80.000000
Deal,28,1829,40.250000,-74.000000
Delhi,0.8,1897,28.566670,77.250000
Demina,16400,1911,51.466670,84.766670
Denver,230,1967,39.782500,-104.930560
Dergaon,12500,2001,26.683330,93.866670
Desuri,25400,1962,25.733330,73.616670
Devgaon,12000,2001,19.000000,81.000000
Devri-Khera,1140,1994,24.225000,76.525000
Dhajala,45000,1976,22.377780,71.427220
Dharwar,1800,1848,14.883330,75.600000
Dhurmsala,32000,1860,32.233330,76.466670
Didim,3396,2007,37.351720,27.329970
Diep River,1000,1906,-33.750000,18.566670
Distrito Quebracho,400,1957,-31.883330,-60.466670
Djati-Pengilon,166000,1884,-7.500000,111.500000
Djermaia,3950,1961,12.733330,15.050000
Djoumine,10000,1999,36.950000,9.550000
Dokachi,3840,1903,23.500000,90.333330
Dolgovoli,1600,1864,50.750000,25.300000
Domanitch,438,1907,40.000000,29.000000
Dong Ujimqin Qi,128800,1995,45.500000,119.033330
Donga Kohrod,230,1899,21.866670,82.450000
Dongtai,5500,1970,32.916670,120.783330
Doroninsk,3891,1805,51.200000,112.300000
Dosso,1250,1962,13.050000,3.166670
Douar Mghila,1161,1932,32.333330,-6.300000
Dowa,642,1976,-13.666670,33.916670
Drake Creek,5000,1827,36.400000,-86.500000
Dresden (Ontario),47700,1939,42.520000,-82.260000
Dubrovnik,1900,1951,42.458330,18.441670
Dunbogan,30,1999,-31.666670,152.833330
Dundrum,2270,1865,52.550000,-8.033330
Dunhua,,1976,43.333330,128.250000
Durala,13200,1815,30.300000,76.633330
Duruma,577,1853,-4.000000,39.500000
Duwun,2117,1943,33.433330,127.266670
Dwaleni,3230,1970,-27.200000,31.316670
Dyalpur,300,1872,26.250000,82.000000
Dyarrl Island,188,1933,-3.000000,151.000000
Eagle,10000,1947,40.781670,-96.471670
Ehole,2400,1961,-17.300000,15.833330
Eichstädt,3000,1785,48.900000,11.216670
Ekeby,3336,1939,56.033330,13.000000
Ekh Khera,840,1916,28.266670,78.783330
El Idrissia,10000,1989,34.416670,3.250000
El Paso de Aguila,17226,1977,25.370000,-97.370000
El Tigre,5000,1993,19.967220,-103.051670
Elbert,680.5,1998,39.246670,-104.588170
Elbogen,107000,1399,50.183330,12.733330
Elenovka,54640,1951,47.833330,37.666670
Ellemeet,1470,1925,51.750000,4.000000
Emmaville,127,1900,-29.466670,151.616670
Enshi,8000,1974,30.300000,109.500000
Ensisheim,127000,1491,47.866670,7.350000
Épinal,277,1822,48.183330,6.466670
Erakot,113,1940,19.033330,81.891670
Erevan,107.2,1911,40.300000,44.500000
Ergheo,20000,1889,1.166670,44.166670
Erxleben,2250,1812,52.216670,11.250000
Esnandes,1500,1837,46.250000,-1.100000
Essebi,500,1957,2.883330,30.833330
Estherville,320000,1879,43.416670,-94.833330
Farmington,89400,1890,39.750000,-97.033330
Farmville,56000,1934,35.550000,-77.533330
Favars,1500,1844,44.383330,2.816670
Fayetteville,2360,1934,36.050000,-94.166670
Feid Chair,380,1875,36.883330,8.450000
Felix,3200,1900,32.533330,-87.166670
Fenghsien-Ku,82,1924,34.600000,116.750000
Ferguson,220,1889,36.100000,-81.416670
Fermo,10200,1996,43.181110,13.753330
Fisher,17600,1894,47.816670,-96.850000
Florence,3640,1922,30.833330,-97.766670
Forest City,152000,1890,43.250000,-93.666670
Forest Vale,26000,1942,-33.350000,146.858330
Forksville,6067,1924,36.783330,-78.083330
Forsbach,240,1900,50.950000,7.316670
Forsyth,16300,1829,33.016670,-83.966670
Fort Flatters,,1944,28.250000,7.000000
Frankfort (stone),650,1868,34.483330,-87.833330
Fuhe,23000,1945,31.475560,113.566940
Fukutomi,11620,1882,33.183330,130.200000
Fünen,,1654,55.333330,10.333330
Futtehpur,4000,1822,25.950000,80.816670
Fuyang,2500,1977,32.900000,115.900000
Galapian,132.69999999999999,1826,44.300000,0.400000
Galim (a),36.1,1952,7.050000,12.433330
Galim (b),28,1952,7.050000,12.433330
Galkiv,5000,1995,51.683330,30.783330
Gambat,6400,1897,27.350000,68.533330
Gao-Guenie,,1960,11.650000,-2.183330
Garhi Yasin,380,1917,27.883330,68.533330
Garland,102,1950,41.683330,-112.133330
Gashua,4162,1984,12.850000,11.033330
Gasseltepaoua,,2000,14.150830,-2.041670
Geidam,725,1950,12.916670,11.916670
Gifu,14290,1909,35.533330,136.883330
Girgenti,18000,1853,37.316670,13.566670
Git-Git,480,1947,9.600000,9.916670
Glanerbrug,670,1990,52.200000,6.866670
Glanggang,1303,1939,-7.250000,107.700000
Glasatovo,152000,1918,57.350000,37.616670
Glatton,767,1991,52.459720,-0.300000
Gnadenfrei,1750,1879,50.666670,16.766670
Gopalpur,1600,1865,24.233330,89.050000
Gorlovka,3618,1974,48.283330,38.083330
Granes,9000,1964,42.900000,2.250000
Grefsheim,45.5,1976,60.666670,11.000000
Grimsby,215,2009,43.200000,-79.616670
Grosnaja,3500,1861,43.666670,45.383330
Gross-Divina,10500,1837,49.266670,18.716670
Grossliebenthal,8000,1881,46.350000,30.583330
Grüneberg,1000,1841,51.933330,15.500000
Grzempach,690,1910,52.866670,16.633330
Gualeguaychú,22000,1932,-33.000000,-58.616670
Guangmingshan,2910,1996,39.804170,122.763890
Guangnan,,1983,24.100000,105.000000
Guangrao,1900,1980,37.100000,118.400000
Guareña,39000,1892,38.733330,-6.016670
Guêa,1915,1891,43.766670,20.233330
Guibga,288,1972,13.500000,-0.683330
Guidder,968,1949,9.916670,13.983330
Gujargaon,2449,1982,22.983330,76.050000
Gujba,100000,1984,11.491670,11.658330
Gumoschnik,5700,1904,42.900000,24.700000
Gurram Konda,28,1814,13.783330,78.566670
Gursum,34650,1981,9.366670,42.416670
Gütersloh,1000,1851,51.916670,8.383330
Gyokukei,1320,1930,35.000000,127.500000
Hachi-oji,0.2,1817,35.650000,139.333330
Hainaut,9000,1934,50.316670,3.733330
Hallingeberg,1456,1944,57.816670,16.233330
Hamlet,3710,1959,41.383330,-86.600000
Haraiya,1000,1878,26.800000,82.533330
Haripura,315,1921,28.383330,75.783330
Harleton,8360,1961,32.675000,-94.511670
Harrison County,680,1859,38.250000,-86.166670
Hashima,1110.5999999999999,1910,35.294500,136.700330
Hassi-Jekna,1250,1890,28.950000,0.816670
Hatford,29000,1628,51.650000,-1.516670
Haverö,1544,1971,60.245560,22.061940
Hedeskoga,3500,1922,55.466670,13.783330
Hedjaz,6100,1910,27.333330,35.666670
Heredia,1000,1857,10.000000,-84.100000
Hessle,20000,1869,59.850000,17.666670
Higashi-koen,750,1897,33.600000,130.433330
High Possil,4500,1804,55.900000,-4.233330
Hiroshima,414,2003,34.450000,132.383330
Hoima,167.7,2003,1.345000,31.472780
Hökmark,305.5,1954,64.433330,21.200000
Holbrook,220000,1912,34.900000,-110.183330
Holetta,1415,1923,9.066670,38.416670
Homestead,230000,1875,41.800000,-91.866670
Honolulu,2420,1825,21.300000,-157.866670
Hotse,180,1956,35.666670,115.500000
Hoxie,266.10000000000002,1963,39.350000,-100.450000
Hraschina,49000,1751,46.100000,16.333330
Huaxi,1600,2010,26.464690,106.632410
Hungen,112,1877,50.300000,8.916670
Hvittis,14000,1901,61.183330,22.683330
Ibbenbüren,2000,1870,52.283330,7.700000
Ibitira,2500,1957,-20.000000,-45.000000
Ibrisim,,1949,38.000000,35.000000
Ichkala,3973,1936,58.200000,82.933330
Idutywa,3457,1956,-32.100000,28.333330
Iguaracu,1200,1977,-23.200000,-51.833330
Ijopega,7330,1975,-6.033330,145.366670
Indarch,27000,1891,39.750000,46.666670
Independence,880,1917,39.083330,-94.400000
Inner Mongolia,3000,1963,41.000000,112.000000
Innisfree,4576,1977,53.415000,-111.337500
Ipiranga,7000,1972,-25.500000,-54.500000
Ishinga,1300,1954,-8.933330,33.800000
Isthilart,3050,1928,-31.183330,-57.950000
Itapicuru-Mirim,2024,1879,-3.400000,-44.333330
Itqiy,4720,1990,26.590830,-12.952170
Ivuna,704.5,1938,-8.416670,32.433330
Jackalsfontein,48000,1903,-32.500000,21.900000
Jajh deh Kot Lalu,973,1926,26.750000,68.416670
Jalanash,700,1990,,
Jalandhar,1967,1621,31.000000,75.000000
Jamkheir,22,1866,18.750000,75.333330
Jartai,20500,1979,39.700000,105.800000
Jelica,34000,1889,43.833330,20.441670
Jemlapur,450,1901,,
Jesenice,3667,2009,46.421370,14.052170
Jhung,5900,1873,31.300000,72.383330
Jiange,222,1964,31.916670,104.916670
Jianshi,600000,1890,30.808330,109.500000
Jilin,4000000,1976,44.050000,126.166670
Jodiya,100,2006,22.680000,70.313330
Jodzie,30,1877,55.700000,24.400000
Johnstown,40300,1924,40.350000,-104.900000
Jolomba,483,1974,-11.850000,15.833330
Jonzac,5000,1819,45.433330,-0.450000
Juancheng,100000,1997,35.500000,115.416670
Judesegeri,680,1876,12.850000,76.800000
Jumapalo,32490,1984,-7.716670,111.200000
Junan,950,1976,35.200000,118.800000
Juromenha,25250,1968,38.740280,-7.270000
Juvinas,91000,1821,44.716670,4.300000
Kaba,3000,1857,47.350000,21.300000
Kabo,13400,1971,11.850000,8.216670
Kadonah,89,1822,27.083330,78.333330
Kaee,230,1838,27.250000,79.966670
Kagarlyk,1900,1908,49.866670,30.833330
Kaidun,2000,1980,15.000000,48.300000
Kainsaz,200000,1937,55.433330,53.250000
Kakangari,350,1890,12.383330,78.516670
Kakowa,577,1858,45.133330,21.666670
Kalaba,950,1951,-6.833330,29.500000
Kalumbi,4500,1879,17.833330,73.983330
Kamalpur,2770,1942,26.033330,81.466670
Kamiomi,448,1913,36.041670,139.956670
Kamsagar,1293,1902,14.183330,75.800000
Kandahar (Afghanistan),299,1959,31.600000,65.783330
Kangean,1630,1908,-7.000000,115.500000
Kangra Valley,400,1897,32.083330,76.300000
Kapoeta,11355,1942,4.700000,33.633330
Kaprada,1600,2004,20.339160,73.223290
Kaptal-Aryk,3500,1937,42.450000,73.366670
Karakol,3000,1840,47.216670,81.016670
Karatu,2220,1963,-3.500000,35.583330
Karewar,180,1949,12.900000,7.150000
Karkh,22000,1905,27.800000,67.166670
Karloowala,2950,1955,31.583330,71.600000
Karoonda,41730,1930,-35.083330,139.916670
Kasamatsu,710,1938,35.366670,136.766670
Kasauli,16820,2003,29.583330,77.583330
Katagum,1500,1999,11.333330,10.083330
Kavarpura,6800,2006,25.143330,75.813330
Kayakent,85000,1961,39.263330,31.780000
Kediri,3300,1940,-7.750000,112.016670
Kemer,5760,2008,36.541940,29.418220
Kendleton,6937,1939,29.450000,-96.000000
Kendrapara,6669.2,2003,20.462500,86.702780
Kerilis,5000,1874,48.400000,-3.300000
Kernouve,80000,1869,48.116670,-3.083330
Kesen,135000,1850,38.983330,141.616670
Khairpur,13600,1873,29.533330,72.300000
Khanpur,3698,1932,25.550000,83.116670
Kharkov,1500,1787,50.625000,35.075000
Kheragur,450,1860,26.950000,77.883330
Khetri,100,1867,28.016670,75.816670
Khmelevka,6109,1929,56.750000,75.333330
Khohar,9700,1910,25.100000,81.533330
Khor Temiki,3200,1932,16.000000,36.000000
Kidairat,100000,1983,14.000000,28.000000
Kiel,737.6,1962,54.400000,10.150000
Kiffa,1500,1970,16.583330,-11.333330
Kijima (1906),331,1906,36.850000,138.383330
Kikino,195,1809,55.000000,34.000000
Kilabo,19000,2002,12.766670,9.800000
Kilbourn,772,1911,43.583330,-89.600000
Killeter,140,1844,54.666670,-7.666670
Kingai,67.400000000000006,1967,11.633330,24.683330
Kirbyville,97.7,1906,30.750000,-95.950000
Kisvarsány,1550,1914,48.166670,22.308330
Kitchener,202.6,1998,43.383330,-80.383330
Klein-Wenden,3250,1843,51.600000,10.800000
Knyahinya,500000,1866,48.900000,22.400000
Kobe,136,1999,34.733330,135.166670
Kokubunji,11510,1986,34.300000,133.950000
Komagome,238,1926,35.733330,139.750000
Konovo,90,1931,42.516670,26.166670
Košice,4300,2010,48.763670,21.176330
Krähenberg,16500,1869,49.326940,7.464720
Krasnoi-Ugol,2440,1829,54.033330,40.900000
Krasnyi Klyuch,4000,1946,54.333330,56.083330
Krutikha,845.2,1906,56.800000,77.000000
Krymka,50000,1946,47.833330,30.766670
Kukschin,2250,1938,51.150000,31.700000
Kulak,453.6,1961,30.731110,66.802220
Kuleschovka,6000,1811,50.750000,33.500000
Kulp,3719,1906,41.116670,45.000000
Kunashak,200000,1949,55.783330,61.366670
Kunya-Urgench,1100000,1998,42.250000,59.200000
Kushiike,4460,1920,37.050000,138.383330
Kusiali,5,1860,29.683330,78.383330
Kutais,23,1977,44.516670,39.300000
Kuttippuram,45000,1914,10.833330,76.033330
Kuznetzovo,4047,1932,55.200000,75.333330
Kyushu,45000,1886,32.033330,130.633330
La Bécasse,2800,1879,47.083330,1.750000
La Charca,399,1878,20.666670,-101.283330
La Colina,2000,1924,-37.333330,-61.533330
La Criolla,45000,1985,-31.233330,-58.166670
Laborel,3833,1871,44.283330,5.583330
Lahrauli,900,1955,26.783330,82.716670
L'Aigle,37000,1803,48.766670,0.633330
Lakangaon,212.5,1910,21.866670,76.033330
Lalitpur,372,1887,24.450000,78.566670
Lancé,51700,1872,47.700000,1.066670
Lancon,7000,1897,43.750000,5.116670
Långhalsen,2300,1947,58.850000,16.733330
Lanxi,1282,1986,46.241670,126.196110
Lanzenkirchen,7000,1925,47.750000,16.233330
Laochenzhen,14250,1987,33.133330,115.166670
Launton,1060,1830,51.900000,-1.116670
Lavrentievka,800,1938,52.450000,51.566670
Le Pressoir,3000,1845,47.166670,0.433330
Le Teilleul,780,1845,48.533330,-0.866670
Leedey,51500,1943,35.883330,-99.333330
Leeuwfontein,460,1912,-25.666670,28.366670
Leighlinbridge,271.39999999999998,1999,52.666670,-6.966670
Leighton,877,1907,34.583330,-87.500000
Leonovka,700,1900,52.266670,32.850000
Les Ormes,125,1857,48.350000,3.250000
Lesves,2000,1896,50.366670,4.733330
Lichtenberg,4000,1973,-26.150000,26.183330
Lillaverke,6862,1930,56.650000,15.866670
Limerick,50000,1813,52.566670,-8.783330
Linum,1862,1854,52.750000,12.900000
Lishui,498,1978,31.633330,118.983330
Lissa,12800,1808,50.200000,14.850000
Little Piney,491,1839,37.916670,-92.083330
Lixna,5213,1820,56.000000,26.433330
Lodran,1000,1868,29.533330,71.800000
Lohawat,40000,1994,26.965560,72.626670
Lorton,329.7,2010,38.700660,-77.211630
Los Martinez,25,1894,38.000000,-0.833330
Lost City,17000,1970,36.008330,-95.150000
Louisville,1300,1977,38.250000,-85.750000
Łowicz,59000,1935,52.000000,19.916670
Lua,9241,1926,24.950000,75.150000
Lucé,3500,1768,47.850000,0.483330
Lumpkin,340,1869,32.033330,-84.766670
Lunan,2520,1980,24.800000,103.300000
Lundsgård,11000,1889,56.216670,13.033330
Luotolax,885,1813,61.200000,27.700000
Luponnas,14000,1753,46.216670,5.000000
Lusaka,,1951,-7.216670,29.433330
Mabwe-Khoywa,540,1937,19.000000,97.000000
Macau,1500,1836,-5.200000,-36.666670
Machinga,93200,1981,-15.212220,35.242220
Macibini,1995,1936,-28.833330,31.950000
Madhipura,1000,1950,25.916670,86.366670
Madiun,400,1935,-7.750000,111.533330
Madrid,400,1896,40.416670,-3.716670
Mafra,600,1941,-26.166670,-49.933330
Magnesia,5000,1899,37.866670,27.516670
Magombedze,666.6,1990,-19.483330,31.650000
Mahadevpur,70500,2007,27.666670,95.783330
Maigatari-Danduma,4629,2004,12.833330,9.383330
Malaga,150,1933,32.216670,-104.000000
Malakal,2000,1970,9.500000,31.750000
Malampaka,470,1930,-3.133330,33.516670
Malotas,,1931,-28.933330,-63.233330
Malvern,807,1933,-29.450000,26.766670
Mamra Springs,1000,1927,45.216670,62.083330
Manbhoom,1700,1863,23.050000,86.700000
Manegaon,50,1843,20.966670,76.100000
Mangwendi,22300,1934,-17.650000,31.600000
Manych,3555,1951,45.816670,44.633330
Mardan,4500,1948,34.233330,72.083330
Maria Linden,114,1925,,
Mariaville,340,1898,42.716670,-99.383330
Maribo,25.81,2009,54.761830,11.467450
Maridi,3200,1941,4.666670,29.250000
Marilia,2500,1971,-22.250000,-49.933330
Marion (Iowa),28400,1847,41.900000,-91.600000
Marjalahti,45000,1902,61.500000,30.500000
Marmande,3000,1848,44.500000,0.150000
Maromandia,6000,2002,-14.200000,48.100000
Maryville,1443,1983,35.800000,-84.100000
Mascombes,1000,1836,45.366670,1.866670
Mason Gully,24.54,2010,0.000000,0.000000
Mässing,1600,1803,48.133330,12.616670
Mauerkirchen,19000,1768,48.183330,13.133330
Mauritius,220,1801,-20.000000,57.000000
Mayo Belwa,4850,1974,8.966670,12.083330
Mazapil,4000,1885,24.683330,-101.683330
Maziba,4975,1942,-1.216670,30.000000
Mbale,150000,1992,1.066670,34.166670
Medanitos,31,1953,-27.250000,-67.500000
Meerut,22,1861,29.016670,77.800000
Meester-Cornelis,24750,1915,-6.233330,106.883330
Menow,10500,1862,53.183330,13.150000
Menziswyl,28.9,1903,46.818670,7.218170
Mern,4000,1878,55.050000,12.066670
Meru,6000,1945,0.000000,37.666670
Merua,71400,1920,25.483330,81.983330
Messina,2405,1955,38.183330,15.566670
Meuselbach,870,1897,50.583330,11.100000
Mezel,1300,1949,45.766670,3.250000
Mezö-Madaras,22700,1852,46.500000,25.733330
Mhow,350,1827,25.900000,83.616670
Mianchi,1100,1980,34.800000,111.700000
Middlesbrough,1600,1881,54.566670,-1.166670
Mifflin,3584,2010,42.907500,-90.365560
